Task ID,Portal,Category,Title,Description,Priority,Story Points,Status,Dependencies
18,HRMS Admin,Leave Management,"Leave Approval Workflow","Implement multi-level leave approval workflow",Low,13,To Do,15
19,HRMS Admin,Leave Management,"Leave Reports","Generate leave reports with analytics (leave utilization, pending approvals, etc.)",Nice to Have,13,To Do,15
20,HRMS Admin,Leave Management,"Leave Calendar View","Add calendar view showing all employee leaves for better planning",Medium,8,To Do,15
21,HRMS Admin,Recruitment,"Job Posting Management","Create job posting creation and management system",Medium,8,To Do,
22,HRMS Admin,Recruitment,"Candidate Application Tracking","Build candidate application tracking and status management",Low,13,To Do,21
23,HRMS Admin,Recruitment,"Interview Scheduling","Implement interview scheduling system with calendar integration",Nice to Have,13,To Do,21
24,HRMS Admin,Recruitment,"Employee Onboarding Checklist","Create onboarding checklist and workflow for new employees",Medium,13,To Do,21
25,HRMS Admin,Recruitment,"Offer Letter Generation","Add offer letter template and generation functionality",Medium,8,To Do,21
26,Employee Portal,Dashboard,"Personal Dashboard Widgets","Allow employees to customize their dashboard widgets",High,8,To Do,
27,Employee Portal,Dashboard,"Quick Actions Panel","Add quick actions panel for common tasks (check-in, leave request, etc.)",Medium,3,To Do,
28,Employee Portal,Dashboard,"Announcements Feed","Create announcements feed showing company-wide updates",Low,3,To Do,
29,Employee Portal,Dashboard,"Upcoming Events Calendar","Display upcoming company events, holidays, and important dates",Nice to Have,3,To Do,
30,Employee Portal,Dashboard,"Performance Metrics Widget","Show personal performance metrics and achievements",Medium,8,To Do,
31,Employee Portal,Attendance,"Check-in/Check-out Location Tracking","Add GPS location tracking for check-in/check-out",High,8,To Do,
32,Employee Portal,Attendance,"Break Time Management","Implement break time tracking (lunch breaks, tea breaks)",Medium,5,To Do,30
33,Employee Portal,Attendance,"Overtime Request","Create overtime request and approval workflow",Low,13,To Do,30
34,Employee Portal,Attendance,"Attendance History Export","Allow employees to export their attendance history",Nice to Have,3,To Do,
35,Employee Portal,Attendance,"Time Sheet Submission","Add time sheet submission and approval workflow",Medium,13,To Do,
36,Employee Portal,Leave Management,"Leave Balance Display","Show detailed leave balance breakdown (earned, used, pending, available)",High,5,To Do,35
37,Employee Portal,Leave Management,"Leave Request Drafts","Allow saving leave requests as drafts before submission",Medium,5,To Do,35
38,Employee Portal,Leave Management,"Leave Calendar Integration","Show personal leave calendar with team members' leaves",Low,13,To Do,35
39,Employee Portal,Leave Management,"Leave Request History","Display complete leave request history with status tracking",Nice to Have,3,To Do,35
40,Employee Portal,Leave Management,"Emergency Leave Request","Create quick emergency leave request flow",Medium,8,To Do,35
41,Employee Portal,Requests,"Request Status Tracking","Real-time status tracking for all submitted requests",High,5,To Do,
42,Employee Portal,Requests,"Request Templates","Create reusable request templates for common requests",Medium,5,To Do,
43,Employee Portal,Requests,"Request Reminders","Send reminders for pending approvals and requests",Low,8,To Do,
44,Employee Portal,Requests,"Request History Export","Export request history to PDF/Excel",Nice to Have,3,To Do,
45,Employee Portal,Requests,"Bulk Request Submission","Allow submitting multiple requests at once",Medium,13,To Do,
46,Employee Portal,Profile,"Profile Completion Progress","Show profile completion progress with checklist",High,5,To Do,
47,Employee Portal,Profile,"Emergency Contact Management","Add emergency contact information management",Medium,5,To Do,
48,Employee Portal,Profile,"Bank Account Details","Secure bank account details management",Low,8,To Do,
49,Employee Portal,Profile,"Notification Preferences","Allow employees to configure notification preferences",Nice to Have,3,To Do,
50,Employee Portal,Profile,"Password Change","Implement secure password change functionality",Medium,5,To Do,



